text,label
My car will not start and the battery seems dead,battery
The battery warning light came on while I was driving,battery
I need help choosing a replacement car battery,battery
My vehicle only makes a clicking sound when I turn the key,battery
How can I tell if my battery needs charging or replacing,battery
The battery keeps losing charge overnight,battery
Can you check the battery terminals for corrosion,battery
My headlights are very dim when I start the car,battery
The car starts slowly on cold mornings,battery
How long does a normal car battery usually last,battery
I left the lights on and now the car will not start,battery
Please inspect my battery before a long road trip,battery
The battery looks swollen under the bonnet,battery
Can a weak battery cause dashboard warning lights,battery
My battery was replaced recently but it is already flat,battery
I hear a single click instead of the engine turning over,battery
Do you offer battery testing at home,battery
The battery cables feel loose on my car,battery
My car needs a jump start almost every week,battery
What battery size is right for my vehicle,battery
The engine cranks very slowly even after a jump,battery
There is white powder around the battery terminals,battery
Can you replace my car battery today,battery
The battery light stays on after the engine starts,battery
My remote works but the car battery is completely dead,battery
Will a faulty alternator keep draining my battery,battery
The car has no electrical power at all,battery
I need emergency roadside battery assistance,battery
How much does a battery replacement cost,battery
Please check whether my battery can still hold a charge,battery
My brakes squeal whenever I stop,brakes
The brake pedal feels soft and goes down too far,brakes
My car pulls to one side when I brake,brakes
How do I know if my brake pads are worn out,brakes
There is a grinding noise from the front brakes,brakes
The brake warning light is showing on my dashboard,brakes
My steering wheel shakes during hard braking,brakes
Can you inspect the brakes before my inspection,brakes
The brakes feel less responsive than they used to,brakes
I hear a clicking noise when I press the brake pedal,brakes
My rear brakes make a loud scraping sound,brakes
The car takes longer to stop on wet roads,brakes
How often should brake pads be replaced,brakes
One of my wheels smells hot after driving,brakes
The brake pedal vibrates at low speed,brakes
Can you replace my front brake pads,brakes
My brakes squeak only in the morning,brakes
The car rolls slightly when I hold the brake,brakes
I think the brake fluid level is low,brakes
The ABS light came on along with the brake light,brakes
My handbrake is not holding the car properly,brakes
Is it safe to drive with noisy brakes,brakes
The brakes lock up when I stop suddenly,brakes
I need a brake service for my family car,brakes
The brake discs look scored and uneven,brakes
Can you check a burning smell near the brakes,brakes
My brake pedal feels hard and the car barely stops,brakes
The brake pads were changed but the noise remains,brakes
How much will a complete brake repair cost,brakes
Please diagnose the vibration I feel while braking,brakes
My temperature gauge is in the red,overheating
Steam is coming from under the bonnet,overheating
The engine overheats whenever I sit in traffic,overheating
My coolant level keeps dropping with no obvious leak,overheating
The car gets hot after driving uphill,overheating
Can a broken radiator fan cause overheating,overheating
The overheating warning light just came on,overheating
I smell coolant after parking the car,overheating
The engine temperature rises when the air conditioner is on,overheating
What should I do if my car starts overheating,overheating
There is a puddle of green fluid under my vehicle,overheating
My radiator fan does not seem to run,overheating
The car overheats then returns to normal after stopping,overheating
Can you check my thermostat for a fault,overheating
The coolant reservoir is empty again,overheating
My engine is running hot even though it has enough coolant,overheating
I need an urgent cooling system inspection,overheating
The temperature gauge fluctuates while I drive,overheating
Why is my radiator leaking,overheating
The bonnet is extremely hot after a short trip,overheating
My car overheats only at low speeds,overheating
Is it safe to drive a car with a coolant leak,overheating
The cooling fan runs loudly after I turn off the engine,overheating
Can you flush and refill my cooling system,overheating
My engine overheated after the coolant was recently changed,overheating
I see bubbles in the coolant reservoir,overheating
The heater blows cold air while the engine overheats,overheating
Please inspect the water pump on my car,overheating
How much does it cost to repair an overheating engine,overheating
The temperature warning appears during long journeys,overheating
My air conditioner is blowing warm air,ac
The AC works sometimes but stops in traffic,ac
There is a bad smell when I turn on the air conditioner,ac
Can you recharge the refrigerant in my car AC,ac
The air conditioner makes a rattling noise,ac
My AC is not cooling the cabin properly,ac
The blower fan only works on one speed,ac
Water is leaking inside the passenger footwell when AC runs,ac
The AC compressor seems to make a loud clicking sound,ac
How often should car air conditioning be serviced,ac
The front vents blow warm air while the rear vents are cool,ac
My car windows fog up even with the AC on,ac
The air conditioning has a musty odor,ac
Can you check for a refrigerant leak,ac
The AC loses cooling after a few minutes,ac
The cabin fan does not turn on at all,ac
The air conditioner drains water under the car is that normal,ac
My AC belt is squealing when I switch it on,ac
The temperature from the vents is not cold enough,ac
I need an AC inspection before summer,ac
The air conditioner blows hot air at idle,ac
My AC stopped working after a dashboard repair,ac
Can a clogged cabin filter reduce AC cooling,ac
The AC compressor clutch will not engage,ac
There is a hissing sound from the air vents,ac
Please replace my car cabin air filter,ac
How much does a car AC gas refill cost,ac
The air conditioner smells like mould when started,ac
My AC fan is noisy on the highest setting,ac
Can you repair an air conditioning leak,ac
My car needs an oil change,oil_change
How often should I change my engine oil,oil_change
The oil change light is on in my car,oil_change
What type of oil does my vehicle need,oil_change
Can you change the oil and oil filter together,oil_change
My engine oil looks very dark on the dipstick,oil_change
I notice an oil stain where my car is parked,oil_change
The car is using more oil than usual,oil_change
How much does a regular oil service cost,oil_change
I am overdue for an oil change by several months,oil_change
The engine sounds louder since the last oil service,oil_change
Can you check my oil level before I travel,oil_change
My oil pressure warning light has appeared,oil_change
The dipstick shows almost no oil in the engine,oil_change
Should synthetic oil be used in my car,oil_change
I need an oil and filter service for my van,oil_change
The oil level keeps falling between services,oil_change
Can an oil change improve rough engine performance,oil_change
My car has gone the recommended mileage for an oil change,oil_change
Please inspect the engine for an oil leak,oil_change
I accidentally put too much oil in the engine,oil_change
The oil filler cap has thick creamy residue,oil_change
Is a quick oil change enough for routine maintenance,oil_change
Can you reset the oil service reminder after servicing,oil_change
The engine oil smells like fuel,oil_change
I want an oil change before a long trip,oil_change
How long does an oil change appointment take,oil_change
My service book says the oil is due this month,oil_change
Does my diesel car need a different oil service,oil_change
Please replace the oil filter during my next visit,oil_change
Can you wash my car today,car_wash
I would like a full exterior and interior car wash,car_wash
Do you provide doorstep car washing,car_wash
My car has mud all over it after a rainy trip,car_wash
Can you remove bird droppings from the paint,car_wash
I need the seats and carpets cleaned as well,car_wash
What is included in your premium car wash,car_wash
Do you offer a waterless wash service,car_wash
Please clean the wheels and tyres thoroughly,car_wash
My car has stubborn road salt on the body,car_wash
Can you wash a large SUV,car_wash
I want a basic exterior wash for my sedan,car_wash
Do you clean car windows inside and outside,car_wash
There is dust built up in my car interior,car_wash
Can you remove stains from the fabric seats,car_wash
How much does an interior detailing service cost,car_wash
I need my car washed before a wedding,car_wash
Can you polish the paint after washing,car_wash
Do you clean under the bonnet,car_wash
My floor mats need deep cleaning,car_wash
Please remove smoke smell from the cabin,car_wash
Is waxing available with the car wash,car_wash
Can you clean pet hair from the back seat,car_wash
I need a quick car wash during my lunch break,car_wash
Do you offer monthly car wash packages,car_wash
Please wash my hatchback without scratching the paint,car_wash
Can you clean the headlights and mirrors,car_wash
My car interior is very dirty after a road trip,car_wash
What is the difference between a wash and detailing,car_wash
I would like to book a mobile car cleaning,car_wash
My engine is making a strange knocking sound,engine_problem
The check engine light is on and the car feels weak,engine_problem
My vehicle shakes badly when the engine is idling,engine_problem
There is black smoke coming from the exhaust,engine_problem
The engine stalls when I stop at traffic lights,engine_problem
My car struggles to accelerate up hills,engine_problem
I hear a ticking sound from the engine,engine_problem
The engine misfires when I press the accelerator,engine_problem
My vehicle has lost power while driving,engine_problem
The exhaust smells strongly of fuel,engine_problem
Can you diagnose an engine warning light,engine_problem
The engine takes several attempts to start,engine_problem
My car is using much more fuel than before,engine_problem
There is blue smoke from the exhaust pipe,engine_problem
The engine runs rough after it warms up,engine_problem
I hear a loud rattling noise under the bonnet,engine_problem
The car jerks when I accelerate,engine_problem
My engine makes a whining noise at high speed,engine_problem
Can you perform a complete engine diagnostic,engine_problem
The check engine light is flashing,engine_problem
My car has very little power but no warning light,engine_problem
The engine cuts out randomly while driving,engine_problem
I smell burning oil from the engine bay,engine_problem
The vehicle vibrates whenever I start the engine,engine_problem
My engine idle speed keeps going up and down,engine_problem
What could cause a rough engine start,engine_problem
The exhaust is releasing thick white smoke,engine_problem
My car makes a clunk when I accelerate from a stop,engine_problem
I need an urgent inspection for an engine fault,engine_problem
Can a faulty sensor cause my check engine light,engine_problem
My tyre pressure warning light is on,tyre
One of my tyres keeps losing air,tyre
I need to replace a flat tyre,tyre
The steering wheel pulls to the left while driving,tyre
Can you check the tread on all four tyres,tyre
My tyres are wearing unevenly on the edges,tyre
I feel a vibration through the steering wheel at speed,tyre
What tyre size is suitable for my car,tyre
Please inflate my tyres to the correct pressure,tyre
There is a nail stuck in my rear tyre,tyre
My tyre has a bulge on the sidewall,tyre
Do you offer tyre replacement and fitting,tyre
The car feels unstable on wet roads,tyre
I need my wheels balanced,tyre
Can you repair a slow puncture,tyre
The tyre warning returns after a few days,tyre
My front tyres are much more worn than the rear ones,tyre
How often should car tyres be replaced,tyre
The tyre valve is leaking air,tyre
I want to change from summer tyres to all season tyres,tyre
My spare tyre is also flat,tyre
There is a thumping noise from one wheel,tyre
Can you rotate my tyres,tyre
The tyre pressure drops every few days,tyre
I need new tyres before a long journey,tyre
Is it safe to drive with a damaged sidewall,tyre
My alloy wheel has a tyre bead leak,tyre
The tread depth looks very low,tyre
Can you check if my tyres are correctly aligned,tyre
My car shakes after I fitted new tyres,tyre
Please recommend affordable tyres for my vehicle,tyre
The car feels bouncy over speed bumps,suspension
I hear a clunking noise over uneven roads,suspension
My vehicle leans to one side when parked,suspension
The ride has become very rough recently,suspension
Can you inspect the shock absorbers,suspension
My car sways when I take a corner,suspension
There is a knocking sound from the front suspension,suspension
The rear of the car bounces several times after a bump,suspension
I see oil leaking from one of the shocks,suspension
The steering feels loose and unstable,suspension
Do I need new suspension springs,suspension
My car dips forward heavily when I brake,suspension
The vehicle feels low on one side,suspension
Can you replace the worn struts,suspension
There is a squeak from the suspension when turning,suspension
My ride height has changed on one side,suspension
The car does not handle potholes well,suspension
I need a suspension check before buying new tyres,suspension
The rear suspension makes noise with passengers inside,suspension
How much does shock absorber replacement cost,suspension
My car bounces even on smooth roads,suspension
The steering wheel is not returning after a turn,suspension
Can worn suspension affect tyre wear,suspension
I hear a metal-to-metal sound under the car,suspension
The car feels unstable at motorway speed,suspension
Please check the ball joints and control arms,suspension
The front end rattles when I drive slowly,suspension
Can you inspect the suspension after hitting a pothole,suspension
My car is sagging at the back,suspension
I want a complete suspension inspection,suspension
My power windows stopped working,electrical
The dashboard lights flicker while I drive,electrical
